                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.89414,                 1.3306,                 1.2844,                0.91452,                0.93752,                0.97746,                0.70422,                 1.0527,                 1.9914,                 1.8516,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0474,                 1.3062,                 1.4707,                0.95434,                 0.9227,                0.98497,                0.76733,                0.86562,                 1.9763,                 1.6321,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0047,                 1.4425,                  1.394,                0.95434,                 0.9227,                0.98497,                0.76733,                0.86562,                 1.9763,                 1.6321,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.8353,                 1.2347,                 1.2571,                0.95263,                 0.9465,                0.98441,                0.76947,                0.81419,                 1.9056,                 1.5639,             0.00047876,             0.00047876,             0.00047876
                     38,                0.85081,                 1.1997,                 1.2371,                0.95105,                0.95209,                0.98797,                0.78175,                0.81572,                 1.8243,                 1.5265,             0.00044576,             0.00044576,             0.00044576
                     39,                0.89888,                 1.3287,                 1.3055,                0.97615,                0.97903,                  0.995,                0.80412,                0.80026,                 1.7596,                 1.5101,             0.00041275,             0.00041275,             0.00041275
                     40,                0.90342,                 1.3396,                  1.327,                0.97615,                0.97903,                  0.995,                0.80412,                0.80026,                 1.7596,                 1.5101,             0.00037974,             0.00037974,             0.00037974
                     41,                0.84533,                 1.1808,                 1.2686,                0.99241,                0.98521,                  0.995,                 0.8279,                  0.753,                 1.6265,                 1.4581,             0.00034674,             0.00034674,             0.00034674
                     42,                0.79537,                  1.219,                 1.2031,                0.99586,                0.99492,                  0.995,                0.84214,                0.72465,                 1.4174,                 1.4139,             0.00031373,             0.00031373,             0.00031373
                     43,                0.79616,                 1.1793,                 1.2521,                0.99364,                0.98839,                  0.995,                0.83901,                0.74089,                 1.4021,                 1.4043,             0.00028072,             0.00028072,             0.00028072
                     44,                0.87571,                 1.2058,                  1.298,                0.99364,                0.98839,                  0.995,                0.83901,                0.74089,                 1.4021,                 1.4043,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.8961,                  1.228,                 1.3215,                0.98665,                0.97941,                  0.995,                 0.8412,                0.77697,                 1.4099,                 1.4273,             0.00021471,             0.00021471,             0.00021471
                     46,                0.95802,                  1.441,                  1.343,                0.96095,                 0.9759,                  0.995,                0.85535,                0.78428,                 1.4162,                 1.4388,              0.0001817,              0.0001817,              0.0001817
                     47,                0.84289,                 1.1744,                 1.2308,                0.94289,                  0.975,                0.99381,                0.84945,                0.76997,                  1.414,                 1.4233,              0.0001487,              0.0001487,              0.0001487
                     48,                0.79626,                 1.1146,                 1.2193,                0.94289,                  0.975,                0.99381,                0.84945,                0.76997,                  1.414,                 1.4233,             0.00011569,             0.00011569,             0.00011569
                     49,                0.97159,                 1.2793,                 1.3474,                0.96056,                0.97619,                  0.995,                0.85021,                0.76263,                 1.3997,                 1.4163,             8.2683e-05,             8.2683e-05,             8.2683e-05
